Duncan Robinson ,Small Forward,Miami Heat,4,"16,902,000",8.1,,2086666.667,NO,Fringe Starter
Gabe Vincent ,Point Guard,Miami Heat,3,"1,815,677",7.5,,242090.2667,NO,Sixth Man
Omer Yurtseven ,Center,Miami Heat,1,"1,507,638",6.1,,247153.7705,NO,Role Player
Udonis Haslem,Center,Miami Heat,19,,0.2,,,,
Haywood Highsmith,Small Forward,Miami Heat,2,,-0.4,,,,
Cody Zeller,Center,Miami Heat,9,,,,,,
Nikola Jovic,Power Forward,Miami Heat,0,,,,,,
Giannis Antetokounmpo ,Power Forward,Milwaukee Bucks,9,"39,344,970",31.4,28.1,1253024.522,NO,MVP Candidate
Jrue Holiday ,Point Guard,Milwaukee Bucks,13,"33,665,040",22.1,,1523304.977,NO,All-Star
Khris Middleton ,Small Forward,Milwaukee Bucks,10,"37,948,276",19.5,,1946065.436,YES,Starter
Bobby Portis Jr ,Power Forward,Milwaukee Bucks,7,"10,843,350",16.2,,669342.5926,NO,Starter
Jae Crowder,Small Forward,Milwaukee Bucks,10,"10,183,800",13.7,,743343.0657,NO,Starter
Grayson Allen ,Shooting Guard,Milwaukee Bucks,4,"8,500,000",12,,708333.3333,NO,Starter
Brook Lopez ,Center,Milwaukee Bucks,14,"13,906,976",8.1,,1716910.617,NO,Fringe Starter
Pat Connaughton ,Shooting Guard,Milwaukee Bucks,7,"5,728,393",7.9,,725113.038,NO,Sixth Man
Wesley Matthews ,Shooting Guard,Milwaukee Bucks,13,"1,836,090",6.1,,300998.3607,NO,Role Player
Serge Ibaka,Center,Milwaukee Bucks,13,,4.4,,,,
Jevon Carter,Point Guard,Milwaukee Bucks,4,,2.4,,,,
Thanasis Antetokounmpo,Small Forward,Milwaukee Bucks,4,,0.4,,,,
Joe Ingles,Small Forward,Milwaukee Bucks,8,,,,,,
MarJon Beauchamp,Small Forward,Milwaukee Bucks,0,,,,,,
